AGE,AGE1,AGE2,AGE3,AGE4,AGE5,Older_binary,Younger,Middle,Older,CAREGIVER,SERVICE,AUDASS,TAXLEG,ADVISO,SHARED,JOBLEVEL,Trainee,Junior,Senior,Assistantmanager,Manager,Seniormanager,Director,Partner,Infrastructure,CI_EquitableHR1,CI_EquitableHR2,CI_EquitableHR3,CI_EquitableHR4,CI_EquitableHR5,CI_IntegrationOfDiff1,CI_IntegrationOfDiff2,CI_IntegrationOfDiff3,CI_IntegrationOfDiff4,CI_IntegrationOfDiff5,CI_IntegrationOfDiff6,CI_IntegrationOfDiff7,CI_DecisionMaking1,CI_DecisionMaking2,CI_DecisionMaking3,CI,CI14,FINNISH,GenderBinary
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.266666667,1.285714286,0,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,4,0,0,0,1,0,0,0,0,0,6,6,3,4,4,5,5,3,6,3,5,6,6,5,5,4.8,4.714285714,0,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4,5,5,5,4,6,5,4,4,6,5,7,6,6,5,5.133333333,5,0,0
1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,4,5,2,1,3,4,2,4,1,1,1,3,2,3,2.6,2.714285714,0,0
3,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,3,3,3,2,3,3,5,5,5,3,3,5,4,4,4,3.666666667,3.571428571,0,1
2,0,1,0,0,0,0,0,1,0,1,3,0,0,1,0,6,0,0,0,0,0,1,0,0,0,3,6,6,3,6,6,6,6,4,5,5,6,6,6,4,5.2,5.142857143,0,0
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,4,4,6,5,4,6,7,4,7,5,3,4,6,5,6,5.066666667,5.142857143,0,1
1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,6,6,5,6,6,5,5,6,5,6,5,5,5,5,4,5.333333333,5.357142857,0,1
2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,3,2,2,2,5,5,5,5,3,3,3,2,3,3,3.2,3.214285714,0,1
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,4,4,1,4,4,1,7,1,1,1,4,7,1,1,1,2.8,2.5,0,0
3,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,8,0,0,0,0,0,0,0,1,0,3,5,5,5,2,6,6,5,7,5,5,6,3,3,4,4.666666667,4.571428571,1,0
3,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,3,5,6,3,2,6,5,5,6,6,3,5,5,4,3,4.466666667,4.428571429,0,1
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,4,3,4,3,2,2,4,4,4,3,4,3,5,3,4,3.466666667,3.5,0,1
2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,3,5,5,3,5,5,6,6,6,2,5,4,5,5,4,4.6,4.642857143,0,1
3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,2,4,2,1,3,3,3,3,4,1,4,5,4,4,4,3.133333333,3,0,0
3,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,6,2,5,2,2,2,2,3,2,1,1,2,2,3,2,2.466666667,2.5,0,1
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,3,3,5,3,2,2,1,2,1,2,2,3,1,1,1,2.133333333,2.071428571,0,1
3,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,5,5,5,5,5,6,6,5,4,5,4,5,4,4,4,4.8,4.785714286,0,1
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,6,7,5,5,5,6,5,4,4,6,6,6,5,5,5,5.333333333,5.285714286,1,0
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,6,5,5,2,6,6,4,5,5,3,6,3,2,4,4.333333333,4.214285714,1,0
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,6,6,6,6,6,5,6,5,6,6,5,6,5,6,6,5.733333333,5.714285714,1,1
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,5,3,2,5,3,5,5,3,2,3,4,4,4,4,4,3.733333333,3.714285714,0,1
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,6,0,0,0,0,0,1,0,0,0,6,3,3,5,3,3,1,2,3,5,5,5,1,1,1,3.133333333,3,0,0
4,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,8,0,0,0,0,0,0,0,1,0,2,6,2,4,1,4,1,1,6,3,2,4,5,2,3,3.066666667,3,0,1
3,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,6,0,0,0,0,0,1,0,0,0,5,4,3,3,5,5,2,3,5,5,3,2,4,3,2,3.6,3.714285714,0,0
